week_friday,n_releases_this_week,n_releases_prev_week,n_competitors_considered,min_dist_char,avg_dist_char,closest_competitor_char,closest_competitor_char_dist
2014-01-03,1,0,1,6.211477251458082,6.211477251458082,Paranormal Activity: The Marked Ones,6.211477251458082
2014-07-11,1,0,1,5.65055921282981,5.65055921282981,Dawn of the Planet of the Apes,5.65055921282981
2014-12-05,1,0,1,5.556650863418289,5.556650863418289,The Pyramid,5.556650863418289
2014-06-20,2,2,4,4.944026946206056,5.6747527442322365,Jersey Boys,4.944026946206056
2014-05-09,3,1,4,4.803789236908123,5.272391888675938,Neighbors,4.803789236908123
2014-06-27,4,2,6,4.8016354028189,5.4055187585704765,Tammy,4.8016354028189
