week_friday,n_releases_this_week,n_releases_prev_week,n_competitors_considered,min_dist,avg_dist,p25_dist,closest_competitor,closest_competitor_dist
2014-05-09,1,0,1,0.6178550960869451,0.6178550960869451,0.6178550960869451,Neighbors,0.6178550960869451
2014-06-13,1,3,4,0.5768184005728386,0.7132398173782158,0.6044388311969049,22 Jump Street,0.5768184005728386
2014-08-22,2,2,4,0.5062454828296892,0.5206841928988408,0.5108068395632175,The November Man,0.5062454828296892
2014-03-14,1,2,3,0.4969851072851763,0.5035503594562294,0.501660261154447,300: Rise of an Empire,0.4969851072851763
2014-09-12,1,0,1,0.4938271604938275,0.4938271604938275,0.4938271604938275,Dolphin Tale 2,0.4938271604938275
2014-09-19,1,1,1,0.4938271604938275,0.4938271604938275,0.4938271604938275,Dolphin Tale 2,0.4938271604938275
