topic,prob
1,0.0493827160493827
2,0.0740740740740741
3,0.0432098765432099
4,0.0679012345679012
5,0.0617283950617284
6,0.037037037037037
7,0.037037037037037
8,0.555555555555556
9,0.037037037037037
10,0.037037037037037
